序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
85,600106,重庆路桥,2015/09/30,9.08亿,9.08亿,1.68万,0.19,3.30,5.85,2.40亿,-5.39,1.80亿,1.39亿,1.80亿,1.74亿,-10.16,12.7亿,1.40,88.03,70.2亿,21.8亿,3.29亿,4068万,40.3亿,6.01亿,34.3亿,57.35,30.0亿,42.65,5429万,0.06,0,0,1997/06/18
86,600107,美尔雅,2015/09/30,3.60亿,3.60亿,1.07万,0.01,1.46,0.56,3.40亿,2.16,1298万,916万,1287万,296万,0.00,-1682万,-0.05,41.26,12.2亿,7.52亿,1.72亿,7559万,6.47亿,5.34亿,1.13亿,53.17,5.27亿,43.31,1.60亿,0.44,0,0,1997/11/06
87,600108,亚盛集团,2015/09/30,19.5亿,19.5亿,1.00万,0.06,2.38,2.27,14.4亿,0.03,1.10亿,7563万,1.19亿,1.07亿,-40.97,17.0亿,0.87,21.61,72.5亿,30.5亿,13.8亿,20.4亿,25.6亿,11.1亿,14.5亿,35.35,46.4亿,63.96,5.39亿,0.28,0,0,1997/08/18
88,600109,国金证券,2015/09/30,30.2亿,28.4亿,1.60万,0.58,5.30,13.27,47.5亿,167.28,22.5亿,6.63亿,22.7亿,16.8亿,206.81,37.1亿,1.23,0.00,615亿,0,1.14亿,3677万,455亿,0,0,73.93,160亿,26.03,78.4亿,2.59,0,0,1997/08/07
89,600110,中科英华,2015/09/30,11.5亿,11.5亿,1.21万,-0.46,0.97,-37.29,12.5亿,-21.96,-5.45亿,-2.71亿,-5.40亿,-5.34亿,0.00,-7.37亿,-0.64,13.41,63.0亿,32.0亿,23.0亿,3.92亿,51.4亿,43.1亿,8.29亿,81.46,11.2亿,17.77,7.14亿,0.62,0,0,1997/10/07
90,600111,北方稀土,2015/09/30,36.3亿,22.2亿,7163,0.08,2.29,3.64,44.9亿,18.33,2.30亿,742万,2.96亿,3.02亿,-24.02,34.0亿,0.94,23.64,152亿,100亿,21.0亿,5.52亿,51.4亿,48.0亿,3.38亿,33.87,83.0亿,54.69,1.66亿,0.05,0,0,1997/09/24
91,600112,天成控股,2015/09/30,5.09亿,5.09亿,8345,0.01,2.49,0.36,5.23亿,62.64,501万,3059万,762万,455万,-80.27,3.45亿,0.68,25.23,28.1亿,12.9亿,3.48亿,3.25亿,15.4亿,14.6亿,7642万,54.83,12.7亿,45.17,3.92亿,0.77,0,0,1997/11/27
92,600113,浙江东日,2015/09/30,3.19亿,3.19亿,1.06万,0.04,1.88,1.89,2.41亿,-16.12,1199万,982万,1154万,1118万,-12.68,1.28亿,0.40,13.48,12.7亿,10.2亿,2116万,1305万,6.03亿,6.03亿,0,47.60,5.99亿,47.28,1.07亿,0.34,0,0,1997/10/21
93,600114,东睦股份,2015/09/30,3.91亿,2.39亿,8290,0.31,3.77,7.96,10.0亿,10.89,1.31亿,203万,1.39亿,1.15亿,15.79,2.92亿,0.75,31.96,21.5亿,8.22亿,8.69亿,2.20亿,5.38亿,4.28亿,1.10亿,24.97,14.7亿,68.28,8.39亿,2.15,0,0,2004/05/11
94,600115,东方航空,2015/09/30,131亿,77.8亿,2.00万,0.42,2.71,16.79,720亿,4.57,34.5亿,1.51亿,69.8亿,53.3亿,159.06,58.0亿,0.44,20.29,1836亿,174亿,1269亿,23.4亿,1458亿,615亿,843亿,79.38,356亿,19.39,198亿,1.51,0,34.9亿,1997/11/05
95,600116,三峡水利,2015/09/30,3.31亿,2.68亿,7422,0.59,6.55,9.63,8.03亿,8.06,1.99亿,1091万,2.09亿,1.91亿,63.57,4.43亿,1.34,37.38,44.3亿,13.3亿,23.8亿,9719万,22.2亿,12.1亿,10.1亿,49.96,21.7亿,48.90,13.2亿,4.00,0,0,1997/08/04
96,600117,西宁特钢,2015/09/30,7.41亿,7.41亿,1.08万,-0.68,2.95,-20.77,37.6亿,-14.28,-5.41亿,240万,-5.27亿,-5.07亿,0.00,8.37亿,1.13,8.49,256亿,71.3亿,90.8亿,11.2亿,226亿,183亿,43.0亿,88.38,21.9亿,8.55,4.00亿,0.54,0,0,1997/10/15
97,600118,中国卫星,2015/09/30,11.8亿,11.8亿,6438,0.20,3.77,5.47,28.7亿,-3.88,2.51亿,105万,2.81亿,2.40亿,12.00,15.8亿,1.33,14.89,103亿,85.5亿,5.91亿,2.67亿,51.6亿,49.5亿,2.18亿,49.95,44.6亿,43.10,16.1亿,1.36,0,0,1997/09/08
98,600119,长江投资,2015/09/30,3.07亿,3.07亿,7545,0.26,2.68,9.99,18.1亿,76.99,7404万,6035万,9897万,8037万,150.77,1.66亿,0.54,8.23,21.9亿,14.2亿,3.39亿,1.25亿,11.3亿,11.0亿,2573万,51.66,8.23亿,37.68,3.22亿,1.05,0,0,1998/01/15
99,600120,浙江东方,2015/09/30,5.05亿,5.05亿,2.00万,0.89,9.16,8.30,54.7亿,-25.87,7.06亿,7.43亿,7.05亿,4.47亿,10.25,23.3亿,4.61,12.06,110亿,59.8亿,4.06亿,4.61亿,56.6亿,45.2亿,11.4亿,51.41,46.3亿,42.08,4276万,0.08,0,0,1997/12/01
100,600121,郑州煤电,2015/09/30,10.2亿,6.98亿,1.09万,-0.42,3.67,-10.67,97.0亿,-20.71,-3.98亿,2.96亿,-4.06亿,-4.27亿,0.00,11.2亿,1.10,0.92,109亿,40.0亿,50.7亿,7.04亿,61.5亿,58.2亿,3.31亿,56.37,37.3亿,34.17,5.03亿,0.50,0,0,1998/01/07
101,600122,宏图高科,2015/09/30,11.5亿,11.4亿,1.10万,0.32,6.08,4.59,141亿,7.56,4.40亿,2.31亿,4.45亿,3.69亿,112.00,21.0亿,1.83,8.13,169亿,133亿,7.55亿,7048万,94.4亿,77.6亿,16.8亿,55.77,69.7亿,41.16,20.7亿,1.81,0,0,1998/04/20
102,600123,兰花科创,2015/09/30,11.4亿,11.4亿,1.21万,0.09,8.52,1.04,34.2亿,-10.92,1.66亿,9366万,1.16亿,9960万,466.79,62.6亿,5.48,30.73,225亿,65.6亿,44.1亿,50.6亿,122亿,50.5亿,71.3亿,54.08,97.3亿,43.23,3.97亿,0.35,0,0,1998/12/17
103,600125,铁龙物流,2015/09/30,13.1亿,13.1亿,1.29万,0.18,3.69,4.89,49.6亿,24.96,2.99亿,1654万,3.13亿,2.33亿,-12.37,28.8亿,2.20,8.51,70.3亿,41.7亿,22.4亿,1.12亿,21.7亿,20.1亿,1.62亿,30.83,48.1亿,68.45,1.58亿,0.12,0,0,1998/05/11
104,600126,杭钢股份,2015/09/30,8.39亿,8.39亿,1.33万,-0.49,3.45,-13.19,72.9亿,-36.59,-3.90亿,-32.5万,-3.89亿,-4.09亿,-8191.02,7.92亿,0.94,-0.70,60.0亿,39.3亿,18.9亿,3144万,27.8亿,26.6亿,1.15亿,46.31,28.9亿,48.23,7.36亿,0.88,0,0,1998/03/11
105,600127,金健米业,2015/09/30,6.42亿,5.44亿,4576,-0.16,1.26,-12.11,14.3亿,19.19,-1.14亿,47.2万,-1.03亿,-1.04亿,0.00,-3.21亿,-0.50,10.42,15.0亿,8.44亿,4.66亿,9544万,6.72亿,6.14亿,5828万,44.95,8.08亿,54.05,4.71亿,0.73,0,0,1998/05/06
106,600128,弘业股份,2015/09/30,2.47亿,2.47亿,9376,0.13,6.01,2.14,28.8亿,-2.51,3676万,4538万,4306万,3175万,-27.72,3.88亿,1.57,6.98,28.3亿,18.4亿,3.00亿,8953万,12.5亿,12.3亿,1600万,44.08,14.8亿,52.42,7.06亿,2.86,0,0,1997/09/01
107,600129,太极集团,2015/09/30,4.27亿,4.27亿,1.25万,0.47,2.93,17.90,54.0亿,5.33,2.52亿,4.40亿,2.55亿,2.03亿,796.09,-2.66亿,-0.62,29.54,104亿,61.6亿,16.7亿,11.7亿,87.4亿,80.1亿,7.31亿,84.47,12.5亿,12.10,4.58亿,1.07,0,0,1997/11/18
108,600130,波导股份,2015/09/30,7.68亿,7.68亿,8650,0.04,1.21,3.45,11.6亿,3.89,2092万,1832万,3302万,3156万,-27.07,-3.60亿,-0.47,8.56,13.4亿,10.7亿,9820万,1460万,4.06亿,3.97亿,886万,30.40,9.30亿,69.60,4.56亿,0.59,0,0,2000/07/06
109,600131,岷江水电,2015/09/30,5.04亿,3.97亿,7556,0.24,1.79,13.99,6.84亿,16.22,1.26亿,7578万,1.29亿,1.21亿,-11.94,2.22亿,0.44,21.86,24.2亿,2.38亿,11.6亿,2322万,15.2亿,4.33亿,10.9亿,62.90,9.02亿,37.33,4714万,0.09,0,0,1998/04/02
110,600132,重庆啤酒,2015/09/30,4.84亿,4.84亿,1.22万,0.36,2.79,12.94,28.0亿,6.47,2.03亿,3791万,2.03亿,1.72亿,7.76,6.63亿,1.37,39.46,42.3亿,17.7亿,16.4亿,4.93亿,27.7亿,24.5亿,3.13亿,65.46,13.5亿,31.99,0,0.00,0,0,1997/10/30
111,600133,东湖高新,2015/09/30,6.34亿,5.38亿,6366,0.06,2.44,2.43,36.2亿,-13.37,8146万,332万,9669万,3726万,-68.18,1.91亿,0.30,15.54,151亿,111亿,8.96亿,1838万,134亿,98.6亿,35.4亿,88.45,15.5亿,10.23,5.43亿,0.86,0,0,1998/02/12
112,600135,乐凯胶片,2015/09/30,3.73亿,3.42亿,9890,0.09,4.30,2.44,8.34亿,18.58,3844万,251万,3900万,3092万,23.51,1.92亿,0.51,18.78,18.3亿,12.5亿,2.28亿,1.05亿,2.04亿,2.03亿,27.0万,11.15,16.1亿,87.95,9.00亿,2.41,0,0,1998/01/22
113,600136,道博股份,2015/09/30,1.64亿,1.04亿,1.46万,0.23,5.18,4.98,1.75亿,270.42,4187万,499万,4847万,3404万,61435.78,5360万,0.33,43.69,12.3亿,8.16亿,387万,9.68万,3.45亿,2.58亿,8736万,28.12,8.50亿,69.23,6.25亿,3.81,0,0,1998/03/03
114,600137,浪莎股份,2015/09/30,9722万,9722万,6554,0.02,4.76,0.31,1.19亿,-46.50,288万,0,326万,145万,-80.21,1297万,0.13,14.22,5.56亿,4.00亿,1.00亿,4867万,9385万,9121万,264万,16.87,4.62亿,83.13,3.42亿,3.52,0,0,1998/04/16
115,600138,中青旅,2015/09/30,7.24亿,7.03亿,1.37万,0.40,6.40,6.30,78.6亿,-3.63,5.15亿,2621万,5.70亿,2.86亿,-20.68,20.7亿,2.86,21.27,91.2亿,33.6亿,23.3亿,6.14亿,31.7亿,30.1亿,1.65亿,34.79,46.3亿,50.77,17.1亿,2.37,0,0,1997/12/03
116,600139,西部资源,2015/09/30,6.62亿,6.62亿,1.89万,0.01,1.96,0.26,9.75亿,246.51,2384万,9118万,3129万,341万,142.18,1.57亿,0.24,26.99,63.2亿,27.1亿,5.49亿,11.5亿,41.5亿,24.9亿,16.6亿,65.66,13.0亿,20.53,3.77亿,0.57,0,0,1998/02/25
117,600141,兴发集团,2015/09/30,5.30亿,4.37亿,1.63万,0.20,9.26,2.17,100亿,13.49,1.22亿,1262万,1.56亿,1.06亿,-77.91,12.8亿,2.41,13.31,219亿,52.7亿,101亿,19.7亿,159亿,101亿,57.9亿,72.29,49.1亿,22.37,28.6亿,5.40,0,0,1999/06/16
118,600143,金发科技,2015/09/30,25.6亿,25.6亿,1.96万,0.21,3.23,6.66,115亿,-1.28,5.24亿,1380万,6.11亿,5.44亿,19.19,25.0亿,0.98,16.22,143亿,88.8亿,27.1亿,12.2亿,59.5亿,41.0亿,18.5亿,41.73,82.8亿,58.06,28.1亿,1.10,0,0,2004/06/23
119,600145,*ST新亿,2015/09/30,3.78亿,3.78亿,1.82万,-0.01,-3.81,0.00,373万,-87.66,-344万,0,-374万,-364万,0.00,-19.2亿,-5.10,17.42,3439万,1336万,1236万,866万,14.8亿,9845万,13.8亿,4308.70,-14.4亿,-4187.66,6744万,0.18,0,0,1999/09/23
120,600146,商赢环球,2015/09/30,2.00亿,2.00亿,1.92万,-0.10,0.64,-14.93,394万,-74.92,-2400万,0,-2527万,-2062万,0.00,-1.99亿,-0.99,-5.46,3.15亿,8711万,2938万,1.25亿,1.27亿,1.19亿,798万,40.38,1.28亿,40.58,1.22亿,0.61,0,0,1999/07/07
121,600148,长春一东,2015/09/30,1.42亿,1.42亿,4261,0.03,2.57,0.98,3.60亿,-26.67,1052万,0,1124万,359万,-87.06,1.00亿,0.71,27.02,8.32亿,6.34亿,1.71亿,1144万,4.13亿,3.48亿,6554万,49.64,3.64亿,43.72,8912万,0.63,0,0,1998/05/20
122,600149,廊坊发展,2015/09/30,3.80亿,3.80亿,4884,-0.01,0.71,-0.81,440万,-84.50,-222万,518万,-221万,-201万,-149.17,-2.62亿,-0.69,31.46,4.49亿,2.78亿,2701万,0,1.78亿,2769万,1.50亿,39.55,2.71亿,60.28,1.06亿,0.28,0,0,1999/10/14
123,600150,中国船舶,2015/09/30,13.8亿,13.8亿,1.02万,0.12,12.82,0.98,219亿,5.48,-9323万,-4147万,9405万,1.71亿,23.09,111亿,8.05,6.28,550亿,386亿,120亿,16.7亿,352亿,265亿,87.1亿,64.08,177亿,32.13,46.0亿,3.34,0,0,1998/05/20
124,600151,航天机电,2015/09/30,12.5亿,12.5亿,8123,0.02,3.15,0.62,21.8亿,0.19,-208万,1.31亿,2043万,2322万,-35.86,-5.45亿,-0.44,13.59,108亿,49.8亿,33.8亿,2.22亿,68.4亿,45.5亿,22.9亿,63.19,39.4亿,36.40,28.6亿,2.29,0,0,1998/06/05
125,600152,维科精华,2015/09/30,2.93亿,2.93亿,1.00万,0.07,1.93,3.26,5.61亿,-39.06,767万,8003万,1402万,1922万,0.00,1878万,0.06,9.37,14.3亿,6.46亿,4.59亿,1.02亿,8.04亿,6.80亿,1.23亿,56.03,5.65亿,39.39,1.29亿,0.44,0,0,1998/06/09
126,600153,建发股份,2015/09/30,28.4亿,28.4亿,2.32万,0.57,6.39,9.06,864亿,2.79,29.9亿,3.47亿,30.5亿,16.1亿,2.26,118亿,4.16,8.45,1042亿,917亿,10.4亿,4.33亿,803亿,592亿,210亿,76.99,181亿,17.39,26.2亿,0.92,0,0,1998/06/16
127,600155,宝硕股份,2015/09/30,4.77亿,4.13亿,1.91万,0.60,0.87,105.53,2.41亿,-12.22,2.80亿,3.64亿,2.84亿,2.86亿,0.00,-4.47亿,-0.94,2.78,7.45亿,5.38亿,5657万,2790万,3.13亿,3.13亿,0,42.00,4.14亿,55.61,3.69亿,0.77,0,0,1998/09/18
128,600156,华升股份,2015/09/30,4.02亿,4.02亿,1.44万,-0.01,1.68,-0.84,5.47亿,-17.44,-2226万,75.8万,-934万,-573万,0.00,1.21亿,0.30,6.18,11.5亿,6.90亿,1.55亿,1.61亿,4.13亿,3.77亿,3607万,35.84,6.76亿,58.71,1.34亿,0.33,0,0,1998/05/27
129,600157,永泰能源,2015/09/30,112亿,46.0亿,1.39万,0.05,1.78,2.97,75.8亿,30.52,7.04亿,1.68亿,9.90亿,5.26亿,33.66,17.6亿,0.16,44.52,873亿,168亿,184亿,373亿,620亿,287亿,332亿,70.96,199亿,22.83,69.2亿,0.62,0,0,1998/05/13
130,600158,中体产业,2015/09/30,8.44亿,6.57亿,5014,0.06,1.81,3.30,4.08亿,-49.51,4067万,5733万,4692万,5007万,-24.24,5.44亿,0.64,23.14,38.4亿,34.6亿,1.14亿,1229万,20.4亿,17.3亿,3.10亿,53.27,15.3亿,39.77,2382万,0.03,0,0,1998/03/27
131,600159,大龙地产,2015/09/30,8.30亿,8.30亿,1.33万,0.03,2.54,1.06,3.88亿,-39.56,3315万,1372万,3306万,2258万,-75.45,9.08亿,1.09,29.38,27.9亿,24.3亿,5126万,0,6.73亿,6.73亿,0,24.13,21.1亿,75.72,3.46亿,0.42,0,0,1998/05/26
132,600160,巨化股份,2015/09/30,18.1亿,18.1亿,2.65万,0.08,3.99,1.91,69.2亿,-3.21,1.31亿,2708万,1.74亿,1.39亿,20.55,24.4亿,1.35,10.76,93.6亿,32.4亿,45.7亿,5.18亿,21.0亿,19.5亿,1.56亿,22.47,72.3亿,77.24,24.6亿,1.36,0,0,1998/06/26
133,600161,天坛生物,2015/09/30,5.15亿,5.15亿,1.62万,0.08,3.85,2.05,12.5亿,-18.41,1.82亿,0,1.87亿,4027万,-84.32,11.6亿,2.25,50.69,58.1亿,17.9亿,26.5亿,1.94亿,35.5亿,13.3亿,22.2亿,61.14,19.8亿,34.16,1.66亿,0.32,0,0,1998/06/16
134,600162,香江控股,2015/09/30,11.7亿,7.68亿,1.17万,0.17,1.64,10.83,23.5亿,-12.40,3.42亿,-202万,3.55亿,2.04亿,-16.47,10.3亿,0.88,44.78,150亿,126亿,5.26亿,1.09亿,126亿,99.4亿,26.9亿,84.13,19.2亿,12.77,1539万,1.85,0,0,1998/06/09
135,600163,*ST南纸,2015/09/30,9.99亿,7.21亿,2.56万,-0.05,1.42,-3.46,5.43亿,-49.41,-2646万,1681万,-2469万,-4269万,0.00,-17.0亿,-1.70,25.31,28.2亿,5.84亿,19.4亿,2632万,13.4亿,3.02亿,10.3亿,47.45,14.2亿,50.35,20.5亿,2.05,0,0,1998/06/02
136,600165,新日恒力,2015/09/30,6.85亿,4.85亿,1.86万,-0.03,1.31,-1.90,6.44亿,-44.21,-2107万,9369万,-1595万,-1734万,0.00,-1.06亿,-0.16,8.02,25.3亿,14.1亿,6.26亿,4444万,16.0亿,15.8亿,1485万,63.19,8.99亿,35.53,6.92亿,0.41,0,0,1998/05/29
137,600166,福田汽车,2015/09/30,33.4亿,28.1亿,2.50万,0.05,5.47,0.93,255亿,-0.21,-4.01亿,3356万,1.58亿,1.61亿,-41.45,29.8亿,0.89,12.38,410亿,163亿,93.2亿,40.8亿,225亿,192亿,32.9亿,54.99,182亿,44.51,102亿,3.05,0,0,1998/06/02
138,600167,联美控股,2015/09/30,2.11亿,2.11亿,1.74万,0.65,5.34,12.96,4.36亿,15.52,1.81亿,0,1.84亿,1.37亿,15.77,6.58亿,3.12,48.05,28.2亿,4.21亿,8.25亿,6168万,16.9亿,7.79亿,9.15亿,60.02,11.3亿,39.91,2.47亿,1.17,0,0,1999/01/28
139,600168,武汉控股,2015/09/30,7.10亿,5.69亿,1.25万,0.36,6.06,6.06,8.56亿,-3.48,1.73亿,134万,2.98亿,2.54亿,-18.34,18.6亿,2.62,36.84,77.5亿,13.2亿,47.8亿,3.97亿,32.8亿,14.1亿,18.7亿,42.30,43.0亿,55.43,15.1亿,2.13,0,0,1998/04/27
140,600169,太原重工,2015/09/30,24.2亿,24.2亿,1.30万,0.00,2.24,0.20,45.3亿,-15.68,-2374万,0,4091万,1087万,-44.16,15.0亿,0.62,19.14,275亿,200亿,50.4亿,5.05亿,221亿,184亿,37.1亿,80.30,54.2亿,19.69,12.3亿,0.51,0,0,1998/09/04
141,600170,上海建工,2015/09/30,59.4亿,57.6亿,2.63万,0.24,3.21,7.65,884亿,8.51,16.7亿,7783万,19.9亿,14.3亿,7.21,75.7亿,1.27,8.79,1295亿,1010亿,60.1亿,30.8亿,1089亿,843亿,245亿,84.05,191亿,14.73,40.9亿,0.69,0,0,1998/06/23
142,600171,上海贝岭,2015/09/30,6.74亿,6.74亿,1.17万,0.05,2.69,2.13,3.67亿,7.09,2803万,781万,3998万,3659万,14.09,2.00亿,0.30,25.76,20.3亿,15.5亿,9060万,5283万,1.92亿,1.39亿,5262万,9.44,18.1亿,89.39,8.02亿,1.19,0,0,1998/09/24
143,600172,黄河旋风,2015/09/30,6.95亿,4.97亿,1.33万,0.23,5.15,4.62,12.7亿,5.37,1.80亿,2769万,1.82亿,1.57亿,-1.35,10.8亿,1.56,34.42,65.2亿,23.6亿,24.0亿,1.30亿,29.5亿,21.4亿,8.09亿,45.17,35.8亿,54.83,16.3亿,2.34,0,0,1998/11/26
144,600173,卧龙地产,2015/09/30,7.25亿,7.25亿,1.66万,0.07,2.24,3.29,9.27亿,21.85,9177万,550万,9116万,5318万,-24.43,7.58亿,1.05,26.33,44.5亿,43.2亿,1189万,32.6万,28.3亿,16.1亿,12.2亿,63.52,16.2亿,36.46,1581万,0.02,0,0,1999/04/15
145,600175,美都能源,2015/09/30,24.5亿,14.5亿,1.33万,0.01,1.85,0.51,33.4亿,1.38,3866万,1.50亿,4458万,2282万,-77.31,4.96亿,0.20,13.65,146亿,67.7亿,1.85亿,1278万,97.6亿,60.4亿,37.2亿,66.68,45.4亿,30.98,14.0亿,0.57,0,0,1999/04/08
146,600176,中国巨石,2015/09/30,8.73亿,8.73亿,1.81万,0.88,5.42,17.28,52.3亿,18.45,8.87亿,-310万,9.14亿,7.66亿,165.67,24.8亿,2.84,40.34,220亿,76.5亿,127亿,3.98亿,172亿,115亿,57.1亿,78.16,47.3亿,21.50,12.8亿,1.46,0,0,1999/04/22
147,600177,雅戈尔,2015/09/30,22.3亿,22.3亿,1.44万,1.46,8.58,18.32,124亿,16.98,31.5亿,21.0亿,39.8亿,32.5亿,65.81,131亿,5.87,35.00,614亿,232亿,36.8亿,2.92亿,421亿,398亿,23.6亿,68.57,191亿,31.09,3.41亿,0.15,0,0,1998/11/19
148,600178,东安动力,2015/09/30,4.62亿,4.62亿,1.27万,0.08,3.81,2.14,8.19亿,55.14,3192万,2605万,3726万,3726万,0.00,1.98亿,0.43,8.21,30.9亿,11.7亿,2.48亿,746万,13.3亿,10.8亿,2.54亿,43.05,17.6亿,56.95,8.59亿,1.86,0,0,1998/10/14
149,600179,黑化股份,2015/09/30,3.90亿,3.90亿,9572,-0.52,-0.55,0.00,7.13亿,-0.24,-2.05亿,0,-2.02亿,-2.01亿,0.00,-9.67亿,-2.48,-17.42,11.9亿,4.50亿,7.42亿,0,14.1亿,13.9亿,2215万,118.01,-2.13亿,-17.88,3.26亿,0.83,0,0,1998/11/04
150,600180,瑞茂通,2015/09/30,10.2亿,8.83亿,5.13万,0.24,3.83,7.96,62.8亿,19.28,2.54亿,5993万,2.62亿,2.22亿,-11.65,13.3亿,1.31,13.57,104亿,92.9亿,2554万,6.18万,65.2亿,57.3亿,7.93亿,62.61,39.0亿,37.41,14.7亿,1.44,0,0,1998/07/03
151,600182,S佳通,2015/09/30,3.40亿,1.70亿,5688,0.50,3.21,15.05,24.8亿,-15.02,4.50亿,0,4.53亿,1.69亿,7.26,6.90亿,2.03,25.17,30.1亿,18.4亿,10.7亿,2278万,11.9亿,8.89亿,3.01亿,39.49,10.9亿,36.24,120万,0.00,0,0,1999/05/07
152,600183,生益科技,2015/09/30,14.4亿,14.4亿,1.65万,0.24,3.09,7.81,56.1亿,0.36,3.85亿,689万,3.92亿,3.38亿,-19.50,13.7亿,0.95,18.10,87.8亿,51.2亿,30.4亿,2.82亿,42.1亿,34.9亿,7.27亿,47.97,44.5亿,50.62,11.3亿,0.79,0,0,1998/10/28
153,600184,光电股份,2015/09/30,4.19亿,4.19亿,1.13万,0.03,2.39,1.41,14.7亿,62.82,1502万,45.7万,1650万,1406万,11.92,3.01亿,0.72,10.15,30.9亿,22.2亿,4.42亿,5193万,20.7亿,20.2亿,5474万,67.05,10.0亿,32.44,2.36亿,0.56,0,0,2003/11/06
154,600185,格力地产,2015/09/30,5.78亿,5.78亿,1.62万,1.44,6.00,24.02,4.52亿,-68.40,10.6亿,10.9亿,10.6亿,8.30亿,330.32,28.8亿,4.98,20.25,209亿,199亿,2.04亿,50.3万,174亿,118亿,56.6亿,83.28,34.6亿,16.55,-3.65亿,-0.63,0,0,1999/06/11
155,600186,莲花味精,2015/09/30,10.6亿,10.6亿,1.31万,-0.46,0.11,-135.40,12.9亿,-11.76,-6.12亿,-547万,-6.13亿,-4.84亿,0.00,-13.5亿,-1.27,1.84,21.8亿,8.64亿,4.68亿,5.35亿,21.3亿,21.2亿,1869万,98.00,1.16亿,5.31,3.19亿,0.30,0,0,1998/08/25
156,600187,国中水务,2015/09/30,14.6亿,14.6亿,9607,-0.01,1.82,-0.82,3.48亿,-18.30,-3769万,-193万,-1294万,-2163万,-128.64,-1.83亿,-0.13,37.44,41.7亿,10.9亿,6.40亿,12.1亿,13.6亿,8.56亿,5.00亿,32.53,26.5亿,63.51,13.4亿,0.92,0,0,1998/11/11
157,600188,兖州煤业,2015/09/30,49.2亿,29.6亿,4.77万,0.23,7.75,3.31,385亿,-21.63,19.0亿,2.64亿,22.0亿,13.8亿,-28.86,297亿,6.04,21.16,1332亿,409亿,274亿,203亿,918亿,339亿,579亿,68.92,381亿,28.61,8.68亿,0.18,0,19.6亿,1998/07/01
158,600189,吉林森工,2015/09/30,3.11亿,3.11亿,1.19万,-0.29,3.87,-0.07,11.7亿,19.30,-1.02亿,1696万,-8227万,-8893万,-2522.94,6076万,0.20,26.46,45.9亿,23.8亿,11.7亿,5706万,32.9亿,21.7亿,11.2亿,71.62,12.0亿,26.17,6.54亿,2.11,0,0,1998/10/07
159,600190,锦州港,2015/09/30,20.0亿,13.4亿,9870,0.06,2.94,2.08,17.4亿,3.73,1.32亿,1652万,1.65亿,1.22亿,-22.30,8.76亿,0.44,21.35,120亿,14.0亿,85.9亿,2.41亿,60.1亿,25.7亿,34.5亿,50.01,58.8亿,48.89,26.6亿,1.33,2.23亿,0,1999/06/09
160,600191,华资实业,2015/09/30,4.85亿,4.85亿,1.64万,0.32,4.14,7.88,3071万,-80.30,1.52亿,2.37亿,1.51亿,1.55亿,322.13,3.80亿,0.78,-3.28,26.9亿,6.92亿,1.13亿,935万,6.73亿,5.13亿,1.60亿,25.03,20.1亿,74.74,4.23亿,0.87,0,0,1998/12/10
161,600192,长城电工,2015/09/30,4.42亿,4.42亿,1.17万,0.09,4.27,2.10,14.3亿,-9.77,2228万,-459万,5206万,3929万,-48.83,4.94亿,1.12,25.18,44.4亿,31.7亿,5.79亿,1.92亿,24.8亿,21.1亿,3.73亿,55.93,18.9亿,42.50,9.03亿,2.04,0,0,1998/12/24
162,600193,创兴资源,2015/09/30,4.25亿,4.25亿,8858,0.03,0.81,3.39,137万,-97.32,825万,2362万,2010万,1156万,0.00,-2.79亿,-0.66,28.19,5.54亿,8259万,9785万,868万,2.09亿,4443万,1.65亿,37.72,3.45亿,62.28,1.36亿,0.32,0,0,1999/05/27
163,600195,中牧股份,2015/09/30,4.30亿,4.30亿,1.76万,0.53,6.95,7.66,31.2亿,21.21,2.93亿,3483万,2.96亿,2.30亿,-2.49,14.1亿,3.28,25.17,46.0亿,21.9亿,11.5亿,3.17亿,12.8亿,12.3亿,4902万,27.80,29.9亿,65.01,9.10亿,2.12,0,0,1999/01/07
164,600196,复星医药,2015/09/30,23.1亿,19.1亿,2.61万,0.82,7.60,11.06,90.7亿,4.76,25.2亿,17.4亿,25.7亿,18.9亿,20.09,67.0亿,2.90,50.64,374亿,80.2亿,47.2亿,28.6亿,175亿,109亿,65.9亿,46.73,176亿,46.94,60.5亿,2.62,0,4.03亿,1998/08/07
165,600197,伊力特,2015/09/30,4.41亿,4.41亿,1.53万,0.52,4.01,13.40,11.6亿,0.60,3.15亿,-13.5万,3.19亿,2.29亿,-15.60,8.69亿,1.97,51.16,22.7亿,16.8亿,3.07亿,4207万,4.87亿,4.66亿,2117万,21.49,17.7亿,77.98,2.04亿,0.46,0,0,1999/09/16
166,600198,大唐电信,2015/09/30,8.82亿,8.09亿,9123,-0.47,4.11,-10.88,47.6亿,10.00,-5.42亿,2180万,-3.96亿,-4.16亿,0.00,-10.1亿,-1.14,11.42,139亿,87.6亿,8.61亿,11.2亿,100亿,59.3亿,41.0亿,72.16,36.2亿,26.09,36.9亿,4.18,0,0,1998/10/21
