序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1582,002043,兔 宝 宝,2015/09/30,4.84亿,4.70亿,1.48万,0.12,1.76,6.92,11.4亿,12.05,6205万,559万,6698万,5719万,85.87,2.52亿,0.52,17.09,11.1亿,7.95亿,2.07亿,6074万,2.36亿,2.03亿,3299万,21.19,8.51亿,76.56,9551万,0.20,0,0,2005/05/10
1583,002044,江苏三友,2015/09/30,12.1亿,2.78亿,1.26万,0.08,2.37,3.25,12.9亿,46.43,9614万,4006万,9871万,7853万,756.88,3.49亿,0.29,42.92,39.3亿,14.6亿,5.49亿,1279万,9.79亿,8.90亿,8821万,24.90,28.7亿,73.14,13.1亿,1.09,0,0,2005/05/18
1584,002045,国光电器,2015/09/30,4.17亿,4.15亿,1.59万,0.07,3.09,2.19,15.1亿,8.15,2601万,-1.28万,3173万,2821万,-47.62,3.51亿,0.84,19.44,28.0亿,15.1亿,5.97亿,3.43亿,14.9亿,10.4亿,4.49亿,53.22,12.9亿,46.11,4.11亿,0.99,0,0,2005/05/23
1585,002046,轴研科技,2015/09/30,3.41亿,3.41亿,1.01万,-0.10,4.00,-2.39,3.14亿,-14.52,-3867万,-108万,-3162万,-3253万,-392.53,2.74亿,0.81,17.85,23.1亿,10.0亿,5.57亿,2.36亿,9.44亿,7.35亿,2.09亿,40.79,13.6亿,58.86,6.97亿,2.05,0,0,2005/05/26
1586,002047,宝鹰股份,2015/09/30,12.6亿,6.82亿,1.19万,0.20,1.85,11.56,48.5亿,36.96,3.63亿,-106万,3.65亿,2.55亿,35.08,8.90亿,0.70,15.95,62.7亿,53.9亿,1.43亿,5795万,37.9亿,37.8亿,1340万,60.43,23.4亿,37.36,8.24亿,0.65,0,0,2005/05/31
1587,002048,宁波华翔,2015/09/30,5.30亿,4.60亿,1.39万,0.37,8.21,4.61,68.6亿,12.91,4.64亿,1.24亿,5.07亿,1.97亿,-55.78,22.4亿,4.22,18.70,99.1亿,51.3亿,18.7亿,2.02亿,46.1亿,38.8亿,7.35亿,46.52,43.5亿,43.90,6.63亿,1.25,0,0,2005/06/03
1588,002049,同方国芯,2015/09/30,6.07亿,4.81亿,1.90万,0.44,4.62,9.74,9.40亿,21.51,2.38亿,0,3.12亿,2.64亿,17.35,15.3亿,2.53,44.35,39.3亿,21.1亿,2.96亿,3.57亿,11.2亿,5.00亿,6.21亿,28.52,28.0亿,71.31,6.23亿,1.03,0,0,2005/06/06
1589,002050,三花股份,2015/09/30,17.6亿,15.2亿,1.80万,0.29,2.36,12.97,48.0亿,-6.42,5.73亿,-36.8万,6.02亿,5.10亿,10.33,21.3亿,1.22,28.21,77.0亿,49.6亿,20.4亿,3.73亿,35.1亿,28.7亿,6.43亿,45.61,41.5亿,53.91,1.10亿,0.06,0,0,2005/06/07
1590,002051,中工国际,2015/09/30,7.73亿,7.65亿,2.78万,0.75,7.25,10.38,47.8亿,-23.33,5.34亿,436万,5.35亿,5.78亿,-18.16,27.3亿,3.52,18.87,186亿,157亿,11.4亿,2.36亿,125亿,120亿,4.74亿,67.34,56.1亿,30.17,18.0亿,2.33,0,0,2006/06/19
1591,002052,同洲电子,2015/09/30,6.83亿,5.58亿,9181,0.02,1.26,1.42,7.51亿,-33.50,-1912万,-544万,1296万,1210万,0.00,-2.37亿,-0.35,32.37,26.3亿,17.4亿,3.37亿,7387万,17.7亿,17.6亿,1379万,67.28,8.60亿,32.72,3.31亿,0.48,0,0,2006/06/27
