Date,Open,High,Low,Close,Volume,Adj Close,KDJ,MACD
2014/12/18,12.11,12.11,11,11.24,55039400,11.24,"K=67.18
D=62.24
J=77.06","DIF=0.61
DEA=0.58
MACD=0.06"
2014/12/17,11.2,12.16,10.86,12.16,55039400,12.16,K=?,"DIF=0.622 
DEA=0.574 
MACD=0.096"
2014/1/17,3.58,3.64,3.58,3.6,1660600,3.6,,
2014/1/16,3.58,3.62,3.56,3.57,1001800,3.57,,
2014/1/15,3.57,3.6,3.55,3.58,962100,3.58,,
2014/1/14,3.5,3.6,3.47,3.59,1717100,3.59,,
2014/1/13,3.55,3.56,3.45,3.48,1496100,3.48,,
2014/1/10,3.66,3.67,3.49,3.54,1580800,3.54,,
2014/1/9,3.66,3.67,3.62,3.65,1432400,3.65,,
2014/1/8,3.67,3.69,3.64,3.65,887000,3.65,,
2014/1/7,3.67,3.7,3.65,3.66,1035000,3.66,,
2014/1/6,3.76,3.78,3.66,3.67,1513400,3.67,,
2014/1/3,3.8,3.81,3.75,3.78,1348000,3.78,,
2014/1/2,3.78,3.83,3.75,3.8,1785100,3.8,,
2014/1/1,3.78,3.78,3.78,3.78,0,3.78,,
